time_days,mse_c,mse_h,old_c,old_h
7.400000000000000000e+02,9.733746992424130440e-06,5.421493369794916362e-06,6.920482701389119029e-05,1.607590274943504483e-05
7.500000000000000000e+02,1.080038782674819231e-05,6.295026651059743017e-06,7.090467988746240735e-05,1.592483749845996499e-05
7.600000000000000000e+02,1.197580604639369994e-05,7.213950539153302088e-06,7.287236803676933050e-05,1.578396040713414550e-05
7.700000000000000000e+02,1.324947515968233347e-05,8.166287443600594997e-06,7.512658339692279696e-05,1.563724435982294381e-05
7.800000000000000000e+02,1.460531802877085283e-05,9.127118573815096170e-06,7.767343777231872082e-05,1.550584602227900177e-05
7.900000000000000000e+02,1.598510971234645694e-05,1.007361515803495422e-05,8.050099131651222706e-05,1.538453216198831797e-05
8.000000000000000000e+02,1.738532591843977571e-05,1.098248685593716800e-05,8.361291111214086413e-05,1.528666325611993670e-05
8.100000000000000000e+02,1.876818350865505636e-05,1.180294202640652657e-05,8.702810009708628058e-05,1.521682861493900418e-05
8.200000000000000000e+02,2.010234675253741443e-05,1.247424643224803731e-05,9.077986760530620813e-05,1.517508826509583741e-05
8.300000000000000000e+02,2.132829104084521532e-05,1.298726783716119826e-05,9.488525392953306437e-05,1.517611053714063019e-05
8.400000000000000000e+02,2.243084963993169367e-05,1.323562537436373532e-05,9.935341950040310621e-05,1.522570892120711505e-05
8.500000000000000000e+02,2.331596078875008970e-05,1.316061388934031129e-05,1.041890209307894111e-04,1.536432318971492350e-05
8.600000000000000000e+02,2.389802284596953541e-05,1.273774705623509362e-05,1.093977698474191129e-04,1.561770841362886131e-05
8.700000000000000000e+02,2.412941648799460381e-05,1.188831083709374070e-05,1.150604366557672620e-04,1.603699638508260250e-05
8.800000000000000000e+02,2.397992648184299469e-05,1.073662315320689231e-05,1.211851413245312870e-04,1.663220973568968475e-05
8.900000000000000000e+02,2.339917955396231264e-05,9.324135135102551430e-06,1.277663541259244084e-04,1.742934728099498898e-05
9.000000000000000000e+02,2.234531166322994977e-05,7.794398698024451733e-06,1.346701610600575805e-04,1.841746234276797622e-05
9.100000000000000000e+02,2.083899380522780120e-05,6.259632755245547742e-06,1.418214815203100443e-04,1.960372173925861716e-05
9.200000000000000000e+02,1.891338251880370080e-05,4.845871899306075647e-06,1.491488947067409754e-04,2.096703792631160468e-05
9.300000000000000000e+02,1.670989877311512828e-05,3.672639650176279247e-06,1.565613056300207973e-04,2.251980549772270024e-05
9.400000000000000000e+02,1.441392487322445959e-05,2.876504368032328784e-06,1.639874244574457407e-04,2.422366014798171818e-05
9.500000000000000000e+02,1.223937942995689809e-05,2.553249032644089311e-06,1.713352976366877556e-04,2.602544918772764504e-05
9.600000000000000000e+02,1.036761750583536923e-05,2.727167839111643843e-06,1.785251952242106199e-04,2.782771844067610800e-05
9.700000000000000000e+02,8.940211046137847006e-06,3.386247954040300101e-06,1.854380534496158361e-04,2.961205791507381946e-05
9.800000000000000000e+02,8.004037226783111691e-06,4.433888534549623728e-06,1.919772475957870483e-04,3.131980702164582908e-05
9.900000000000000000e+02,7.532828931289259344e-06,5.741055247199255973e-06,1.980490924324840307e-04,3.288954030722379684e-05
1.000000000000000000e+03,7.414008450723486021e-06,7.146633834054227918e-06,2.035492798313498497e-04,3.428346826694905758e-05
1.010000000000000000e+03,7.497474143747240305e-06,8.497380804328713566e-06,2.083527215290814638e-04,3.554288196028210223e-05
1.020000000000000000e+03,7.634984285687096417e-06,9.662665434007067233e-06,2.123607700923457742e-04,3.668509089038707316e-05
1.030000000000000000e+03,7.728342097834683955e-06,1.052753850672161207e-05,2.155044057872146368e-04,3.772079071495682001e-05
1.040000000000000000e+03,7.718011147517245263e-06,1.102831356547540054e-05,2.177603601012378931e-04,3.864275640808045864e-05
1.050000000000000000e+03,7.589258530060760677e-06,1.114963561121840030e-05,2.191120147472247481e-04,3.947724690078757703e-05
1.060000000000000000e+03,7.375088443950517103e-06,1.090748992282897234e-05,2.195731067331507802e-04,4.023808287456631660e-05
1.070000000000000000e+03,7.126086529751773924e-06,1.035811146721243858e-05,2.191736712120473385e-04,4.095654730917885900e-05
1.080000000000000000e+03,6.908048362674890086e-06,9.602810678188689053e-06,2.179745060857385397e-04,4.161772085353732109e-05
1.090000000000000000e+03,6.775380825274623930e-06,8.697783414390869439e-06,2.160521689802408218e-04,4.222081406624056399e-05
1.100000000000000000e+03,6.780054263799684122e-06,7.714117600698955357e-06,2.134964452125132084e-04,4.273763624951243401e-05
1.110000000000000000e+03,6.946847861399874091e-06,6.725698767695575953e-06,2.103970909956842661e-04,4.318041465012356639e-05
1.120000000000000000e+03,7.268724402820225805e-06,5.792213414679281414e-06,2.068381290882825851e-04,4.353027179604396224e-05
1.130000000000000000e+03,7.742125490040052682e-06,4.965823791280854493e-06,2.028971648542210460e-04,4.378672747407108545e-05
1.140000000000000000e+03,8.334300218848511577e-06,4.270168574294075370e-06,1.986497954931110144e-04,4.395547148305922747e-05
1.150000000000000000e+03,8.990665264718700200e-06,3.735551445060991682e-06,1.941666851053014398e-04,4.403315688250586390e-05
1.160000000000000000e+03,9.675748515292070806e-06,3.353153033458511345e-06,1.895100867841392756e-04,4.401836486067622900e-05
1.170000000000000000e+03,1.033159969665575773e-05,3.127937816316261888e-06,1.847379171522334218e-04,4.389292735140770674e-05
1.180000000000000000e+03,1.092035017791204154e-05,3.037667283933842555e-06,1.798997691366821527e-04,4.368478403193876147e-05
1.190000000000000000e+03,1.140861240855883807e-05,3.062723408220335841e-06,1.750399533193558455e-04,4.338234430178999901e-05
1.200000000000000000e+03,1.177372178062796593e-05,3.179578015988226980e-06,1.701973960734903812e-04,4.302104935050010681e-05
1.210000000000000000e+03,1.198854261019732803e-05,3.362792995176278055e-06,1.654050283832475543e-04,4.256777538103051484e-05
1.220000000000000000e+03,1.205000262416433543e-05,3.595053840399486944e-06,1.606918231118470430e-04,4.205354343866929412e-05
1.230000000000000000e+03,1.196824996441137046e-05,3.850960638374090195e-06,1.560805249027907848e-04,4.147250001551583409e-05
