time_days,mse_c,mse_h,old_c,old_h
6.000000000000000000e+02,2.079999103443697095e-05,1.329770893789827824e-04,6.510214006993919611e-05,1.759234510245732963e-05
6.100000000000000000e+02,2.072376810247078538e-05,1.346562348771840334e-04,6.452366505982354283e-05,1.753019751049578190e-05
6.200000000000000000e+02,2.072254210361279547e-05,1.363808842143043876e-04,6.403768929885700345e-05,1.746657653711736202e-05
6.300000000000000000e+02,2.076753298752009869e-05,1.381214678985998034e-04,6.365279841702431440e-05,1.739103026920929551e-05
6.400000000000000000e+02,2.087036045850254595e-05,1.398496096953749657e-04,6.337770901154726744e-05,1.730326039250940084e-05
6.500000000000000000e+02,2.106541796820238233e-05,1.415683655068278313e-04,6.322167610051110387e-05,1.721081753203179687e-05
6.600000000000000000e+02,2.135519753210246563e-05,1.432515127817168832e-04,6.319732347037643194e-05,1.710689321043901145e-05
6.700000000000000000e+02,2.174065411963965744e-05,1.448803959647193551e-04,6.331676559057086706e-05,1.699890890449751168e-05
6.800000000000000000e+02,2.224962918262463063e-05,1.464224624214693904e-04,6.359441613312810659e-05,1.687586700427345932e-05
6.900000000000000000e+02,2.290099655510857701e-05,1.478853373555466533e-04,6.404173473129048944e-05,1.675279781920835376e-05
7.000000000000000000e+02,2.369471258134581149e-05,1.492082083132117987e-04,6.467033381341025233e-05,1.662505746935494244e-05
7.100000000000000000e+02,2.459949064359534532e-05,1.503540406702086329e-04,6.548878445755690336e-05,1.649491241551004350e-05
7.200000000000000000e+02,2.566883631516247988e-05,1.513146416982635856e-04,6.650967407040297985e-05,1.635850458114873618e-05
7.300000000000000000e+02,2.684620994841679931e-05,1.520468504168093204e-04,6.774420035071671009e-05,1.621441151655744761e-05
7.400000000000000000e+02,2.815279549395199865e-05,1.525621046312153339e-04,6.920482701389119029e-05,1.607590274943504483e-05
7.500000000000000000e+02,2.957584365503862500e-05,1.526954147266224027e-04,7.090467988746240735e-05,1.592483749845996499e-05
7.600000000000000000e+02,3.111181649728678167e-05,1.523998798802495003e-04,7.287236803676933050e-05,1.578396040713414550e-05
7.700000000000000000e+02,3.273553011240437627e-05,1.516547636128962040e-04,7.512658339692279696e-05,1.563724435982294381e-05
7.800000000000000000e+02,3.440981163294054568e-05,1.504445681348443031e-04,7.767343777231872082e-05,1.550584602227900177e-05
7.900000000000000000e+02,3.609756822697818279e-05,1.487057306803762913e-04,8.050099131651222706e-05,1.538453216198831797e-05
8.000000000000000000e+02,3.777101665036752820e-05,1.464242959627881646e-04,8.361291111214086413e-05,1.528666325611993670e-05
8.100000000000000000e+02,3.936701614293269813e-05,1.435271115042269230e-04,8.702810009708628058e-05,1.521682861493900418e-05
8.200000000000000000e+02,4.085341424797661602e-05,1.398972235620021820e-04,9.077986760530620813e-05,1.517508826509583741e-05
8.300000000000000000e+02,4.220070695737376809e-05,1.355814893031492829e-04,9.488525392953306437e-05,1.517611053714063019e-05
8.400000000000000000e+02,4.337780774221755564e-05,1.303240132983773947e-04,9.935341950040310621e-05,1.522570892120711505e-05
8.500000000000000000e+02,4.432232162798754871e-05,1.240784476976841688e-04,1.041890209307894111e-04,1.536432318971492350e-05
8.600000000000000000e+02,4.497808913583867252e-05,1.169009628938511014e-04,1.093977698474191129e-04,1.561770841362886131e-05
8.700000000000000000e+02,4.531974263954907656e-05,1.085918265744112432e-04,1.150604366557672620e-04,1.603699638508260250e-05
8.800000000000000000e+02,4.529883881332352757e-05,9.956210851669311523e-05,1.211851413245312870e-04,1.663220973568968475e-05
8.900000000000000000e+02,4.489720595302060246e-05,8.993064693640917540e-05,1.277663541259244084e-04,1.742934728099498898e-05
9.000000000000000000e+02,4.405010258778929710e-05,8.009263547137379646e-05,1.346701610600575805e-04,1.841746234276797622e-05
9.100000000000000000e+02,4.272574733477085829e-05,7.027747051324695349e-05,1.418214815203100443e-04,1.960372173925861716e-05
9.200000000000000000e+02,4.097137934877537191e-05,6.075055352994240820e-05,1.491488947067409754e-04,2.096703792631160468e-05
9.300000000000000000e+02,3.882154487655498087e-05,5.174426041776314378e-05,1.565613056300207973e-04,2.251980549772270024e-05
9.400000000000000000e+02,3.645471224444918334e-05,4.362173785921186209e-05,1.639874244574457407e-04,2.422366014798171818e-05
9.500000000000000000e+02,3.400504647288471460e-05,3.668277349788695574e-05,1.713352976366877556e-04,2.602544918772764504e-05
9.600000000000000000e+02,3.164559166179969907e-05,3.113290586043149233e-05,1.785251952242106199e-04,2.782771844067610800e-05
9.700000000000000000e+02,2.946699169115163386e-05,2.704789403651375324e-05,1.854380534496158361e-04,2.961205791507381946e-05
9.800000000000000000e+02,2.759589187917299569e-05,2.448503619234543294e-05,1.919772475957870483e-04,3.131980702164582908e-05
9.900000000000000000e+02,2.602639688120689243e-05,2.337347359571140260e-05,1.980490924324840307e-04,3.288954030722379684e-05
1.000000000000000000e+03,2.474414941389113665e-05,2.355873220949433744e-05,2.035492798313498497e-04,3.428346826694905758e-05
1.010000000000000000e+03,2.369846515648532659e-05,2.486048833816312253e-05,2.083527215290814638e-04,3.554288196028210223e-05
1.020000000000000000e+03,2.282410241605248302e-05,2.704903636185918003e-05,2.123607700923457742e-04,3.668509089038707316e-05
1.030000000000000000e+03,2.213016341556794941e-05,2.991684959852136672e-05,2.155044057872146368e-04,3.772079071495682001e-05
1.040000000000000000e+03,2.158614370273426175e-05,3.323378768982365727e-05,2.177603601012378931e-04,3.864275640808045864e-05
1.050000000000000000e+03,2.122691148542799056e-05,3.681818634504452348e-05,2.191120147472247481e-04,3.947724690078757703e-05
