time_days,mse_c,mse_h,old_c,old_h
1.160000000000000000e+03,3.407226358831394464e-06,1.060480258274765220e-06,1.895101013360545039e-04,4.401836122269742191e-05
1.170000000000000000e+03,3.984783688792958856e-06,1.439999778085621074e-06,1.847379026003181934e-04,4.389292371342889965e-05
1.180000000000000000e+03,4.530427304416662082e-06,1.930371581693179905e-06,1.798997691366821527e-04,4.368477675598114729e-05
1.190000000000000000e+03,5.002815669286064804e-06,2.487006440787808970e-06,1.750399387674406171e-04,4.338233338785357773e-05
1.200000000000000000e+03,5.368581696529872715e-06,3.046624669877928682e-06,1.701973960734903812e-04,4.302104571252129972e-05
1.210000000000000000e+03,5.600616077572340146e-06,3.559099695848999545e-06,1.654050283832475543e-04,4.256777538103051484e-05
1.220000000000000000e+03,5.686653366865357384e-06,3.956374712288379669e-06,1.606918231118470430e-04,4.205354343866929412e-05
1.230000000000000000e+03,5.624772256851429120e-06,4.210548013361403719e-06,1.560805249027907848e-04,4.147250001551583409e-05
1.240000000000000000e+03,5.426104507932905108e-06,4.281520887161605060e-06,1.515922194812446833e-04,4.085634282091632485e-05
1.250000000000000000e+03,5.109749963594367728e-06,4.175103185843909159e-06,1.472404401283711195e-04,4.019898915430530906e-05
1.260000000000000000e+03,4.702891601482406259e-06,3.911168278136756271e-06,1.430392003385350108e-04,3.948121593566611409e-05
1.270000000000000000e+03,4.236117092659696937e-06,3.515175876600551419e-06,1.389957324136048555e-04,3.876013943227007985e-05
1.280000000000000000e+03,3.740246938832569867e-06,3.033497250726213679e-06,1.351115352008491755e-04,3.799192927544936538e-05
1.290000000000000000e+03,3.243027776989038102e-06,2.518296696507604793e-06,1.313872489845380187e-04,3.723857298609800637e-05
1.300000000000000000e+03,2.770318133116234094e-06,2.007404191317618825e-06,1.278254494536668062e-04,3.644113530754111707e-05
1.310000000000000000e+03,2.340133505640551448e-06,1.536458626105741132e-06,1.244246086571365595e-04,3.566527448128908873e-05
1.320000000000000000e+03,1.964183866220992059e-06,1.134215381171088666e-06,1.211800190503709018e-04,3.488473885226994753e-05
1.330000000000000000e+03,1.647493945711175911e-06,8.176868959708372131e-07,1.180834515253081918e-04,3.412363730603829026e-05
1.340000000000000000e+03,1.390867737427470274e-06,5.784669951935939025e-07,1.151283213403075933e-04,3.336982263135723770e-05
1.350000000000000000e+03,1.190495595437823795e-06,4.154182988713728264e-07,1.123079782701097429e-04,3.263879625592380762e-05
1.360000000000000000e+03,1.039991730067413300e-06,3.134530857096251566e-07,1.096148698707111180e-04,3.192778967786580324e-05
1.370000000000000000e+03,9.311812618761905469e-07,2.614262655242782785e-07,1.070416328730061650e-04,3.125082366750575602e-05
1.380000000000000000e+03,8.561788717997842468e-07,2.414253117422049399e-07,1.045794633682817221e-04,3.059108712477609515e-05
1.390000000000000000e+03,8.070933290582615882e-07,2.418017288619012106e-07,1.022188371280208230e-04,2.995641079905908555e-05
1.400000000000000000e+03,7.767496299493359402e-07,2.513439483209367609e-07,9.994859283324331045e-05,2.934984695457387716e-05
1.410000000000000000e+03,7.597497528877283912e-07,2.625878039452800294e-07,9.776047954801470041e-05,2.877874248952139169e-05
1.420000000000000000e+03,7.517949143220903352e-07,2.701007417726941640e-07,9.565040818415582180e-05,2.824797775247134268e-05
1.430000000000000000e+03,7.505808525820611976e-07,2.704974804146331735e-07,9.361758566228672862e-05,2.774994754872750491e-05
1.440000000000000000e+03,7.548154599135159515e-07,2.666702698661538307e-07,9.166295058093965054e-05,2.728138497332111001e-05
1.450000000000000000e+03,7.644990773769677617e-07,2.553396996063383995e-07,8.978528785519301891e-05,2.684828541532624513e-05
1.460000000000000000e+03,7.803362223057774827e-07,2.438692661144159501e-07,8.798352064331993461e-05,2.645263703016098589e-05
1.470000000000000000e+03,8.035286782615003176e-07,2.309237032704913872e-07,8.625644841231405735e-05,2.609955299703869969e-05
1.480000000000000000e+03,8.348407618541386910e-07,2.225336430683455546e-07,8.459857781417667866e-05,2.576289080025162548e-05
1.490000000000000000e+03,8.751913469495775644e-07,2.210676655067800311e-07,8.300827175844460726e-05,2.546040741435717791e-05
1.500000000000000000e+03,9.253418511434574611e-07,2.292543115345324622e-07,8.148365304805338383e-05,2.515720552764832973e-05
1.510000000000000000e+03,9.855283451543073170e-07,2.485346044522884768e-07,8.003527182154357433e-05,2.486165431037079543e-05
1.520000000000000000e+03,1.056690734912990592e-06,2.783477555112767732e-07,7.866369560360908508e-05,2.455771027598530054e-05
1.530000000000000000e+03,1.139624600909883156e-06,3.162592463468172355e-07,7.736814586678519845e-05,2.427551953587681055e-05
1.540000000000000000e+03,1.232331669598352164e-06,3.627300202424521558e-07,7.613960769958794117e-05,2.400589619355741888e-05
1.550000000000000000e+03,1.332456918134994339e-06,4.153208692514454015e-07,7.497571641579270363e-05,2.373302959313150495e-05
1.560000000000000000e+03,1.437001401427551173e-06,4.735195489047328010e-07,7.387440564343705773e-05,2.347087502130307257e-05
1.570000000000000000e+03,1.542268364573828876e-06,5.354506811272585765e-07,7.283250306500121951e-05,2.321480315004009753e-05
1.580000000000000000e+03,1.645262045713025145e-06,5.979838419989391696e-07,7.184922287706285715e-05,2.295723970746621490e-05
1.590000000000000000e+03,1.743870598147623241e-06,6.534703516081208363e-07,7.093562453519552946e-05,2.266824594698846340e-05
1.600000000000000000e+03,1.836255933085340075e-06,7.054657658045471180e-07,7.009322871454060078e-05,2.236413638456724584e-05
1.610000000000000000e+03,1.920418526424327865e-06,7.497804972445010208e-07,6.931956158950924873e-05,2.205258715548552573e-05
1.620000000000000000e+03,1.991913222809671424e-06,7.844303127058083192e-07,6.859866698505356908e-05,2.175267582060769200e-05
1.630000000000000000e+03,2.046455620074993931e-06,8.130959372465440538e-07,6.792161002522334456e-05,2.146459155483171344e-05
1.640000000000000000e+03,2.081269940390484408e-06,8.333484515787858982e-07,6.728676089551299810e-05,2.118408337992150337e-05
1.650000000000000000e+03,2.096182015520753339e-06,8.464563734378316440e-07,6.669174763374030590e-05,2.089044573949649930e-05
